solver,n,p,gap_mean,success_mean,time_mean,qpu_mean
CPLEX,4,,0.0,1.0,0.12207563333504368,
CPLEX,6,,0.0,1.0,0.05755226666466721,
CPLEX,8,,0.0,1.0,0.15712336666426077,
CPLEX,10,,0.0,1.0,0.27660193333334365,
CPLEX,12,,0.0,1.0,0.12146766666895321,
QAOA_IBM,8,1.0,0.0,0.001953125,8.26569169999857,
QAOA_IBM,10,1.0,0.0,0.0009765625,8.057988300002762,
QAOA_IBM,12,1.0,0.14538991453419645,0.0009765625,8.318482699993183,
QAOA_SHOTS,4,1.0,0.0,0.10384114583333333,0.1768307000020286,
QAOA_SHOTS,4,2.0,0.0,0.09928385416666667,0.1734646666664048,
QAOA_SHOTS,4,3.0,0.0,0.09114583333333333,0.17172570000305618,
QAOA_SHOTS,6,1.0,0.0,0.028971354166666668,0.16885683333384804,
QAOA_SHOTS,6,2.0,0.0,0.03125,0.16201770000043325,
QAOA_SHOTS,6,3.0,0.0,0.0302734375,0.1869467333308421,
QAOA_SHOTS,8,1.0,0.0,0.0078125,0.1739318333323657,
QAOA_SHOTS,8,2.0,0.01549164430217144,0.0068359375,0.16478980000101728,
QAOA_SHOTS,8,3.0,0.0,0.0032552083333333335,0.17772930000258688,
QAOA_SHOTS,10,1.0,0.07874978779431192,0.0016276041666666667,0.15977096666271487,
QAOA_SHOTS,10,2.0,0.04206518994366448,0.001953125,0.16191596666612895,
QAOA_SHOTS,10,3.0,0.0,0.0026041666666666665,0.17217973333511813,
QAOA_SHOTS,12,1.0,0.120381677731993,0.0016276041666666667,0.15879126666792823,
QAOA_SHOTS,12,2.0,0.06015225433302147,0.0013020833333333333,0.17076259999885224,
QAOA_SHOTS,12,3.0,0.11328601345720635,0.0009765625,0.170528733334019,
QAOA_SV,4,1.0,0.0,0.11255816589474384,0.1581275666685542,
QAOA_SV,4,2.0,0.0,0.10090277039373013,0.2875789666674488,
QAOA_SV,4,3.0,0.0,0.09669833081180412,0.2787268333340762,
QAOA_SV,6,1.0,0.0,0.025330299001895026,0.30298496666606906,
QAOA_SV,6,2.0,0.0,0.028249109493320743,0.4074662666656271,
QAOA_SV,6,3.0,0.0,0.032783843993672866,0.6207713333351421,
QAOA_SV,8,1.0,0.0,0.0056294888241204995,0.8379323666667915,
QAOA_SV,8,2.0,0.0,0.0057364636184588326,1.1285089999970903,
QAOA_SV,8,3.0,0.0,0.0064847322396993845,1.3981933333319223,
QAOA_SV,10,1.0,0.0,0.001166160614322379,2.5189872333333674,
QAOA_SV,10,2.0,0.0,0.003000160739298956,3.8303201000016998,
QAOA_SV,10,3.0,0.0,0.0035418741807209386,3.2860977000018465,
QAOA_SV,12,1.0,0.0,0.00033015677240904386,9.31904146666784,
QAOA_SV,12,2.0,0.0,0.0012236168271768763,11.485731499999625,
QAOA_SV,12,3.0,0.0,0.0006872159818083127,12.357642633335976,
SA,4,,-9.821065182200883e-16,0.22166666666666668,0.01286183333286317,
SA,6,,-9.69861064612706e-15,0.043333333333333335,0.016392600002291147,
SA,8,,3.5044573152248966e-15,0.035,0.041553833330302346,
SA,10,,8.860970617182118e-15,0.015,0.03403886666637845,
SA,12,,0.19961333534277412,0.008333333333333333,0.04220779999741353,
SQA,4,,-9.821065182200883e-16,0.17833333333333334,0.32358206666685874,
SQA,6,,-9.69861064612706e-15,0.05833333333333333,0.641671033333599,
SQA,8,,3.5044573152248966e-15,0.008333333333333333,1.0586107999964345,
SQA,10,,8.860970617182118e-15,0.011666666666666667,1.691266033332795,
SQA,12,,0.26013917509140977,0.006666666666666667,2.3949515333321565,
